ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,,,,
#peak amplitude,,,,
#frequency at P phase,,,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
unnamed,unnamed,unnamed,#authority,
20180828,20180828,20180828,#year month day,
438,438,438,#hour minute,
7.112,7.112,7.112,#second,
100,100,100,#samples per second,
27126,27126,27126,#number of samples,
0,0,0,#sync,
,,,#sync source,
--------,--------,--------,,
1004,-2297,443,578,
967,-2286,473,579,
904,-2270,504,580,
830,-2291,477,581,
768,-2303,372,582,
781,-2287,331,583,
761,-2253,323,584,
774,-2235,314,585,
749,-2236,345,586,
790,-2204,348,587,
802,-2182,396,588,
759,-2194,389,589,
749,-2221,312,590,
714,-2175,286,591,
702,-2190,293,592,
656,-2159,409,593,
682,-2175,420,594,
726,-2198,370,595,
692,-2111,394,596,
757,-2125,387,597,
761,-2128,371,598,
747,-2201,300,599,
846,-2208,275,600,
849,-2149,267,601,
876,-2175,188,602,
826,-2126,181,603,
783,-2081,243,604,
889,-2084,275,605,
860,-2150,246,606,
907,-2211,240,607,
914,-2160,327,608,
815,-2058,397,609,
853,-2107,452,610,
822,-2231,473,611,
816,-2213,431,612,
795,-2155,444,613,
751,-2149,430,614,
812,-2230,405,615,
763,-2279,365,616,
749,-2278,270,617,
768,-2260,237,618,
811,-2289,225,619,
922,-2326,206,620,
946,-2254,220,621,
975,-2307,278,622,
987,-2390,332,623,
959,-2449,370,624,
995,-2490,408,625,
984,-2427,383,626,
912,-2386,376,627,
856,-2373,393,628,
784,-2362,328,629,
829,-2311,274,630,
872,-2265,263,631,
880,-2288,239,632,
920,-2281,258,633,
914,-2241,307,634,
949,-2240,318,635,
953,-2312,362,636,
954,-2367,424,637,
963,-2305,435,638,
943,-2271,403,639,
934,-2254,369,640,
899,-2235,412,641,
884,-2232,401,642,
873,-2220,324,643,
855,-2240,293,644,
847,-2181,313,645,
828,-2078,382,646,
841,-2072,349,647,
826,-2120,304,648,
816,-2224,325,649,
824,-2255,358,650,
757,-2190,411,651,
771,-2247,395,652,
758,-2256,394,653,
724,-2232,393,654,
831,-2263,343,655,
792,-2274,315,656,
797,-2263,325,657,
812,-2146,390,658,
688,-2104,366,659,
760,-2148,301,660,
808,-2133,351,661,
854,-2154,385,662,
857,-2180,327,663,
793,-2186,264,664,
881,-2188,253,665,
852,-2184,238,666,
830,-2250,220,667,
869,-2317,302,668,
866,-2367,385,669,
890,-2421,399,670,
842,-2368,412,671,
827,-2302,441,672,
795,-2298,512,673,
743,-2249,545,674,
834,-2244,528,675,
816,-2245,474,676,
823,-2169,428,677,
884,-2118,423,678,
824,-2134,344,679,
853,-2200,265,680,
832,-2215,200,681,
819,-2157,130,682,
810,-2174,109,683,
787,-2221,123,684,
883,-2212,193,685,
904,-2256,247,686,
879,-2205,248,687,
921,-2218,328,688,
940,-2231,482,689,
838,-2164,531,690,
